,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,id
14,7cROqgeNkyYTMdQ5u5moGS,Cymande,Second Time Round,For Baby Ooh,18,137400,False,0.817,0.211,9,-16.785,1,0.136,0.948,2.62e-06,0.11,0.71,112.21,4,afrobeat,14
15,5pNh3jnmSvVfLcPYw57IAZ,The Bongo Hop;Nidia Gongora,"Satingarona, Pt. 2",La Carga,22,361160,False,0.738,0.709,8,-6.431,1,0.0478,0.00267,0.0196,0.135,0.851,104.987,4,afrobeat,15
16,41Bh60o6KY7dakdwBoIfUM,Jor'dan Armstrong,Tomorrow,Tomorrow,24,237584,False,0.547,0.627,10,-7.311,0,0.0359,0.0513,0.00145,0.112,0.615,174.967,4,afrobeat,16
17,1VJi7PtheTX2oJYIJZ7bWD,Son Palenque;Cerrero;El León Pardo,Adiós Batata (Cerrero Dub Mix),Adiós Batata - Cerrero Dub Mix,24,407295,False,0.625,0.703,9,-5.571,0,0.132,0.172,0.00493,0.174,0.487,114.113,4,afrobeat,17
18,51qhR6wqpb6Gm2PSOwBPCF,BaianaSystem,OXEAXEEXU,Corneteiro Luís,30,219826,False,0.764,0.857,9,-4.618,0,0.0323,0.289,0.0528,0.245,0.792,126.009,4,afrobeat,18
19,6oNlBZwqefXprM721Bmksi,BaianaSystem;Carolaine,OXEAXEEXU,A Vida É Curta Pra Viver Depois,31,217866,False,0.682,0.703,8,-6.92,1,0.0531,0.356,0.00012,0.116,0.575,91.973,4,afrobeat,19
20,5ruzrDWcT0vuJIOMW7gMnW,The Strokes,The New Abnormal,The Adults Are Talking,79,309053,False,0.593,0.749,5,-5.67,1,0.0475,0.0113,0.106,0.314,0.649,164.959,4,alt-rock,20
21,3Y4rUyw7XBCK6hGHCOt6rp,The Strokes,Comedown Machine,"Call It Fate, Call It Karma",72,204773,False,0.544,0.241,4,-14.779,0,0.03,0.983,0.774,0.101,0.359,109.437,4,alt-rock,21
22,2t0wwvR15fc3K1ey8OiOaN,The Strokes,The New Abnormal,Selfless,71,222093,False,0.538,0.679,4,-4.297,1,0.0333,0.191,0.00175,0.0889,0.0888,121.99,4,alt-rock,22
23,7kzKAuUzOITUauHAhoMoxA,The Strokes,Is This It,Last Nite,74,193506,False,0.624,0.91,0,-5.703,1,0.0297,0.0285,0.000198,0.0789,0.767,104.042,4,alt-rock,23
24,57Xjny5yNzAcsxnusKmAfA,The Strokes,Room On Fire,Reptilia,75,219826,False,0.489,0.649,9,-5.11,1,0.0336,0.000603,0.713,0.101,0.77,158.009,4,alt-rock,24
25,1BLOVHYYlH4JUHQGcpt75R,The Strokes,The New Abnormal,Ode To The Mets,67,351786,False,0.426,0.617,1,-5.423,0,0.0289,0.341,0.181,0.101,0.201,92.002,4,alt-rock,25
26,6wga1W5kGd7hVjClXpM187,Detonautas Roque Clube,Detonautas Acústico,Inferno são os outros,48,211706,False,0.642,0.797,6,-7.173,0,0.0286,0.0899,1.38e-05,0.732,0.563,110.055,4,alt-rock,26
27,5VUQsLff8A3ruAyCdTxqzg,Casting Crowns,Casting Crowns,Who Am I,65,335906,False,0.545,0.472,11,-7.552,1,0.0279,0.434,0.0,0.0684,0.193,134.027,4,alt-rock,27
28,6VQW8Ye28Crwz90BIexsrF,Bersuit Vergarabat,Triste Hora,Vuelos,0,264586,False,0.423,0.493,2,-9.569,0,0.0374,0.1,5.95e-06,0.0797,0.522,167.708,4,alt-rock,28
29,0VALO2mJCnpzv8OSHlMlSq,La Verbena Popular,El Tercer Viento Norestense,Hiereme,46,241986,False,0.746,0.805,0,-4.141,1,0.0342,0.307,0.0,0.254,0.912,145.899,4,alt-rock,29
30,7AOdyU64RafmvJUL4WMotN,X Ambassadors;Erich Lee,Me Before You (Original Motion Picture Soundtrack),Unsteady - Erich Lee Gravity Remix,64,204586,False,0.345,0.574,2,-7.431,1,0.0435,0.0112,1.61e-05,0.343,0.0736,116.679,4,alt-rock,30
31,6AY2zdaF4LJykDhGGE4nv6,Rob Zombie,Helloween Party,Living Dead Girl,0,201400,False,0.518,0.948,6,-5.579,0,0.0676,0.00512,0.0996,0.228,0.548,103.025,4,alt-rock,31
32,4gBNgq0v7fG5kGC857Pb8M,Birileri,Pür Akustik,Aşık Olmamam Gerek - Canlı Akustik,45,211700,False,0.516,0.733,4,-10.627,0,0.0376,0.352,0.0,0.29,0.657,90.563,4,alt-rock,32
33,1EKNUMaRRxclLETULcps5s,The Shins,Christmas Eve At Home,Wonderful Christmastime,0,146520,False,0.634,0.689,11,-5.406,1,0.0307,0.0109,0.0,0.114,0.899,140.071,4,alt-rock,33
34,19zJggaQrCRG3AibCbjXcJ,La Ley,Rock un sentimiento vol. I,Si Tu No Estas Aqui,0,184253,False,0.732,0.348,2,-17.078,1,0.0476,0.0484,0.185,0.197,0.963,126.142,4,alt-rock,34
35,40lKptao1hxVqA7fd1OOGp,Chris Tomlin,And If Our God Is For Us...,Our God,63,285160,False,0.509,0.778,11,-3.608,1,0.0295,0.00998,0.0,0.19,0.216,105.066,4,alt-rock,35
36,5ruzrDWcT0vuJIOMW7gMnW,The Strokes,The New Abnormal,The Adults Are Talking,79,309053,False,0.593,0.749,5,-5.67,1,0.0475,0.0113,0.106,0.314,0.649,164.959,4,alternative,36
37,3Y4rUyw7XBCK6hGHCOt6rp,The Strokes,Comedown Machine,"Call It Fate, Call It Karma",72,204773,False,0.544,0.241,4,-14.779,0,0.03,0.983,0.774,0.101,0.359,109.437,4,alternative,37
38,2t0wwvR15fc3K1ey8OiOaN,The Strokes,The New Abnormal,Selfless,71,222093,False,0.538,0.679,4,-4.297,1,0.0333,0.191,0.00175,0.0889,0.0888,121.99,4,alternative,38
39,1F32ETzCVozARhgkRTjuyA,Moderatto,Halloween 2022 Pop Vol. 2,Gracias,0,231719,False,0.531,0.906,6,-4.791,1,0.0352,0.0286,4.66e-05,0.101,0.347,125.08,4,alternative,39
40,7iyR2H3GRhBUrAxLJOhN0B,Curren$y,New Rap Icons,#Jetsgo,0,192320,True,0.502,0.812,2,-6.591,0,0.263,0.376,0.0,0.49,0.436,83.407,4,alternative,40
41,0KzAbK6nItSqNh8q70tb0K,Pixies,Death to the Pixies,Where Is My Mind?,77,229226,False,0.513,0.442,4,-13.529,1,0.0343,0.00731,0.000838,0.0878,0.243,81.201,4,alternative,41
42,2gBHPw488fjNjHIpBJl8Kk,Florence + The Machine,Pop & Halloween,Howl,1,214053,False,0.577,0.866,0,-4.05,1,0.0601,0.006,0.000708,0.164,0.28,130.016,4,alternative,42
43,4kbj5MwxO1bq9wjT5g9HaA,WALK THE MOON,TALKING IS HARD,Shut Up and Dance,83,199080,False,0.578,0.866,1,-3.804,1,0.0619,0.00701,0.0,0.257,0.619,128.038,4,alternative,43
44,4MiLgByToEVhuGwc6MrSIX,Breaking Benjamin,Halloween Metal Nights,Blood,3,189120,True,0.477,0.973,4,-2.731,0,0.0766,3.81e-05,3.3e-05,0.289,0.288,90.519,4,alternative,44
45,7iyR2H3GRhBUrAxLJOhN0B,Curren$y,New Rap Icons,#Jetsgo,0,192320,True,0.502,0.812,2,-6.591,0,0.263,0.376,0.0,0.49,0.436,83.407,4,alternative,45
46,57BrRMwf9LrcmuOsyGilwr,Linkin Park,Hybrid Theory (Bonus Edition),Crawling,76,208960,False,0.58,0.702,4,-5.565,1,0.0337,0.0466,3.2e-06,0.536,0.299,105.076,4,alternative,46
47,340BPA00CljfaZLOnRHmz2,GAYLE,Hit After Hit,abcdefu,0,168601,True,0.695,0.54,4,-5.692,1,0.0493,0.299,0.0,0.367,0.415,121.932,4,alternative,47
48,4bh9zPGpEX1yl9Do6rkhHr,Shinedown,Rock Brandneu,Planet Zero,0,222738,False,0.416,0.964,9,-2.967,1,0.112,2.35e-05,0.000875,0.473,0.212,157.925,4,alternative,48
49,5i4zyaQRXAX9oI2C9dmHdB,Ludovico Einaudi,Elements (Deluxe),Drop,49,300293,False,0.465,0.0342,2,-28.257,0,0.0401,0.992,0.939,0.103,0.059,152.054,4,ambient,49
50,2oa53bhiNPCz2CGh26AYxi,Novo Amor,Bathing Beach,Colourway,60,228164,False,0.261,0.371,3,-10.112,1,0.0313,0.96,0.856,0.109,0.149,158.924,4,ambient,50
51,6QzdmoHqSH08FOq18fxqKd,Bicep,Tsugi Chill-Out,Atlas,1,348306,False,0.545,0.792,3,-6.395,0,0.032,0.1,0.952,0.173,0.127,128.977,4,ambient,51
52,7vvqiqB4O7nPXWxiehIH9l,Erland Cooper,Holm Sound,Holm Sound,56,175909,False,0.305,0.0501,0,-28.268,1,0.0413,0.967,0.88,0.0877,0.166,180.996,3,ambient,52
53,6CfAtjogau9v9kmtZVrNG8,Novo Amor,If We're Being Honest,If We're Being Honest,46,235053,False,0.498,0.432,3,-7.297,1,0.0296,0.888,0.617,0.136,0.126,132.928,4,ambient,53
54,6vMaCzTnismT6N45MDCMfa,You'll Never Get to Heaven,Images,Beyond the Clouds,47,248680,False,0.633,0.574,7,-9.667,0,0.0299,0.792,0.921,0.105,0.236,117.515,4,ambient,54
55,3sSESwCLq4g7WiXk6LJKbI,Stephan Moccio,Wrecking ball (Solo Piano Version),Wrecking Ball - Solo Piano Version,60,204560,False,0.515,0.0695,5,-22.837,1,0.0342,0.992,0.934,0.0943,0.109,112.81,4,ambient,55
56,3CTJWZbJuoPwXV0oJPYE9K,Brian Eno,FOREVERANDEVERNOMORE,Garden of Stars,46,259053,False,0.108,0.24,7,-16.343,1,0.0309,0.531,0.167,0.13,0.0381,71.699,4,ambient,56
57,5UuUL7HPjllNxSXi2WyqBD,Little Symphony,Sombrio,Raelee,28,134296,False,0.203,0.0357,2,-24.847,1,0.0516,0.833,0.969,0.116,0.0391,72.357,3,ambient,57
58,6i8GiLfa1PAwKl4SBfpFVt,Novo Amor;Ed Tullett;Lowswimmer,Heiress,Silvery,47,232613,False,0.535,0.364,1,-11.349,1,0.0328,0.948,0.082,0.334,0.0956,120.033,4,ambient,58
59,5XZn5pE4NNGDjKB8UYQQU5,Kato,Sleep Anime Lofi Beats,Gurenge Lofi (Demon Slayer),58,72517,False,0.622,0.124,4,-24.872,0,0.0369,0.717,0.838,0.095,0.178,134.025,4,anime,59
60,7v8wKvNQQIxkugCFFjrkaO,Aimer,残響散歌,残響散歌,77,184893,False,0.367,0.896,11,-4.002,1,0.091,0.000627,0.0,0.207,0.38,170.863,4,anime,60
61,5kKloaKFvAuDNFi8m52hxy,MUSASHI PROJECT,NARUTO -ナルト- オリジナルサウンドトラック,NARUTO Main Theme,56,266920,False,0.525,0.766,4,-8.448,0,0.0438,0.00634,0.00235,0.125,0.383,119.974,4,anime,61
62,620KT2uyy5Pd9vjaPGdPzH,[Alexandros],I Wanna Go To Hawaii,Cat 2,32,241173,True,0.554,0.896,4,-4.492,0,0.0817,0.00128,8.34e-06,0.0353,0.519,97.472,4,anime,62
63,2T7E6Gl6XxB8UnuqrufqYT,ENHYPEN,BORDER : 儚い,Given-Taken - Japanese Ver.,52,184600,False,0.581,0.68,8,-5.076,0,0.0357,0.11,0.0,0.177,0.438,107.986,4,anime,63
64,5SV4f2XVyPvDQJFPLnQTVO,Yutaka Yamada,東京喰種トーキョーグール:re Original Soundtrack,Remembering (feat. Tate McRae),45,276600,False,0.174,0.288,2,-8.649,1,0.0388,0.876,4.01e-06,0.0918,0.289,78.793,4,anime,64
65,4cDm9C5jhBiIyYxVhQmMwB,LiSA,往け,往け,59,228266,False,0.56,0.952,1,-2.579,0,0.162,0.135,0.0,0.162,0.689,89.872,4,anime,65
66,1WnKw9yOKxYJP1SImJjaLJ,Samuel Kim,Nirvana: Epic Collection,Something In The Way,38,226581,False,0.239,0.419,1,-9.635,1,0.0314,0.188,0.188,0.112,0.0379,102.709,4,anime,66
67,2GIdXUqLQ2rbT5I5r3JvIw,Mrs. GREEN APPLE,ENSEMBLE,SPLASH!!!,35,235746,False,0.459,0.833,7,-2.862,1,0.0455,0.00721,6.77e-06,0.329,0.442,180.087,4,anime,67
68,6MNY72T605kPIOH3hnioxu,Aimer,Penny Rain,Ref:rain,60,289986,False,0.472,0.672,7,-4.297,1,0.0287,0.0343,0.0,0.0936,0.313,77.982,4,anime,68
69,5MQp0Y0bwFru5xbatuP38t,The Kovenant,Animatronik,The Human Abstract,19,295040,False,0.472,0.992,0,-2.863,1,0.0655,4.67e-05,0.331,0.563,0.616,85.027,4,black-metal,69
70,0eTQYv3sPn3uOlRCxhfNb9,Manes,Be All End All,Ars Moriendi - The Lower Crown,17,222000,False,0.551,0.574,11,-9.539,0,0.0334,0.000697,0.399,0.0994,0.0719,120.081,4,black-metal,70
71,1yk4Uky6oS50wHByc90zsq,Kvelertak,Kvelertak,Utrydd Dei Svake,25,382893,True,0.364,0.747,9,-4.582,1,0.057,0.000163,0.75,0.102,0.117,161.953,4,black-metal,71
72,0wv2HhPEmCSjtMcgj5B2pX,Avhath,The Avhath Rites,Abhorrent Display,21,290952,False,0.103,0.676,4,-8.809,0,0.0478,0.00138,0.6,0.0758,0.0338,90.136,4,black-metal,72
73,5mfyiAYTK4MxWq2elg1Kpv,Anal Vomit,Demoniac Flagellations,Sendero Siniestro,17,155600,True,0.193,0.995,3,-4.893,1,0.18,4.29e-06,0.0737,0.0486,0.0743,109.837,4,black-metal,73
74,7yzj3yH2wSMpRiyFGFCzy3,Midnight,Rebirth by Blasphemy,Warning from the Reaper,17,245506,False,0.147,0.966,11,-5.771,1,0.0796,4.66e-05,0.000329,0.153,0.249,146.926,4,black-metal,74
75,5YRVKQf4YaW0Ohz8cReoYt,Eisregen,Hexenhaus,1000 Tote Nutten,20,365880,True,0.348,0.968,2,-4.887,1,0.0831,1.33e-05,0.00338,0.409,0.259,150.064,4,black-metal,75
76,2VgyA66xbFdyZ2gBulBA4O,Månegarm,Månegarm,Mother Earth Father Thunder - Bonus Track,18,368250,False,0.424,0.594,0,-8.637,0,0.0391,0.00897,0.056,0.162,0.17,130.001,4,black-metal,76
77,4AtIYKn78JEjApGA0Dv68a,Toxic Holocaust,Hell on Earth,Thrashing Death,22,158293,True,0.215,0.983,9,-3.154,1,0.114,2.61e-05,0.216,0.184,0.623,183.911,4,black-metal,77
78,4UXM6z4I5PbnJMEP9RRAay,Dissection,Reinkaos,Nexion 218,46,92264,True,0.583,0.726,9,-8.623,1,0.036,0.00044,0.834,0.369,0.221,132.065,4,black-metal,78
79,0ZVJFFgbdSV9Y9eah00Egj,Old Crow Medicine Show,Tennessee Pusher,Motel In Memphis,25,265693,False,0.401,0.521,4,-8.253,0,0.0327,0.0981,3.82e-06,0.167,0.548,155.573,4,bluegrass,79
80,1mdh5LGJCHHUaV5MXzkgE6,Railroad Earth,All For the Song,Blues Highway,21,257120,False,0.382,0.874,9,-5.88,1,0.0283,0.0691,0.00156,0.309,0.622,147.733,4,bluegrass,80
81,4X1C6Q2DdNHDbFqb19yct5,Unspoken Tradition,Myths We Tell Our Young,Dark Side Of The Mountain,21,230000,False,0.685,0.681,2,-6.591,1,0.0292,0.534,0.00768,0.084,0.718,112.014,4,bluegrass,81
82,3d8oIEIdoU2ZWVmiGvdGCE,Tommy Emmanuel,Endless Road,Angelina,44,218973,False,0.591,0.145,9,-18.428,1,0.0343,0.928,0.523,0.108,0.265,127.261,4,bluegrass,82
83,4jkUPVl2evfCEBBMRmtIBF,The Del McCoury Band,Del & The Boys,All Aboard,31,238560,False,0.454,0.568,4,-10.225,0,0.0349,0.222,0.00177,0.35,0.49,157.812,4,bluegrass,83
84,3LNguJCP02qiq6ZzoloDTt,High Fidelity,Hills And Home,The Hills and Home,21,142573,False,0.582,0.65,0,-7.138,1,0.0331,0.199,0.000442,0.197,0.963,120.177,4,bluegrass,84
85,3d8oIEIdoU2ZWVmiGvdGCE,Tommy Emmanuel,Endless Road,Angelina,44,218973,False,0.591,0.145,9,-18.428,1,0.0343,0.928,0.523,0.108,0.265,127.261,4,bluegrass,85
86,3jXYV0kWv1FbMYypvyjfSK,The Infamous Stringdusters,The L&G Tapes LIVE,"Somebody To Love - Charlotte, NC 4/6/16",22,399567,False,0.527,0.567,1,-10.415,0,0.0312,0.58,0.00165,0.687,0.436,137.846,4,bluegrass,86
87,6QbkUhsl7YDaOq0ska3WlN,Della Mae,Dry Town,Dry Town,20,162697,False,0.626,0.569,1,-9.019,0,0.0438,0.243,0.0,0.0959,0.752,99.467,4,bluegrass,87
88,10clXWnF1WxfpWhuiHGZfx,Kitchen Dwellers,Ghost in the Bottle,Mountain,38,297640,False,0.583,0.63,0,-11.301,1,0.0353,0.459,0.115,0.285,0.662,150.064,4,bluegrass,88
89,66a1vwfr6aNLO2FnoEELMx,Louis Prima;Sam Butera & The Witnesses,pov: you bake cookies,Pennies From Heaven,0,141666,False,0.514,0.408,8,-11.96,1,0.194,0.449,0.0,0.0682,0.915,185.756,4,blues,89
90,41bZ32oR2zk5h9BMSI5da5,Irma Thomas,Christmas Vibes But Not Christmas Songs,Anyone Who Knows What Love Is (Will Understand),0,181293,False,0.389,0.29,2,-11.868,1,0.0393,0.406,4.13e-05,0.0758,0.158,185.01,3,blues,90
91,4IiuExPFijOGZnVxGsKWcc,The White Stripes;The Glitch Mob,Seven Nation Army (The Glitch Mob Remix),Seven Nation Army - The Glitch Mob Remix,65,257021,False,0.701,0.844,4,-6.629,1,0.133,0.152,0.626,0.194,0.198,120.04,4,blues,91
92,4zoQ3EqopTIGmK2c2rPV5t,Jeff Beck,Blow By Blow,Cause We've Ended as Lovers,53,342066,False,0.549,0.294,0,-13.181,0,0.0337,0.144,0.798,0.108,0.145,115.294,4,blues,92
93,4nXkbcTj3nyww1cHkw5RAP,The Doobie Brothers,The Captain and Me,Long Train Runnin',72,207266,False,0.575,0.912,7,-7.275,0,0.0393,0.0916,0.00211,0.0562,0.843,117.399,4,blues,93
94,6DsIkdx9T11UFbQHeoRbrn,The Changcuters,Mencoba Sukses Kembali,Pria Idaman Wanita,45,219866,False,0.637,0.918,9,-5.073,1,0.0711,0.062,0.0097,0.177,0.517,115.839,4,blues,94
95,36NwMJRaCy7x77xYGJiG2M,Allman Brothers Band,Fishing Music,Midnight Rider,1,177960,False,0.346,0.589,7,-9.922,1,0.036,0.21,0.00703,0.15,0.638,189.486,4,blues,95
96,17kvkuaX3jmBQr8KShf6Fl,Terry Wright,How Sweet Is Your Candy,She Was Playing Too,33,256453,False,0.815,0.363,0,-8.603,1,0.0354,0.137,0.0,0.157,0.636,113.99,4,blues,96
97,2tznHmp70DxMyr2XhWLOW0,Cage The Elephant,Melophobia,Cigarette Daydreams,79,208760,False,0.636,0.676,2,-3.442,1,0.0263,0.0807,0.0,0.0831,0.273,113.98,4,blues,97
98,4ZoUJljhs6YSj0bEAt0Zi8,SATV Music,Finish Line,Finish Line,52,133674,False,0.548,0.554,3,-5.602,1,0.0254,0.326,0.000154,0.202,0.462,75.005,4,blues,98
99,4ekDggjElGJX9kNSOtnbVf,Dubdogz;Bhaskar,Infinity (Dubdogz & Bhaskar Edit),Infinity - Dubdogz & Bhaskar Edit,69,196000,False,0.723,0.57,9,-8.589,0,0.0429,0.00412,0.00183,0.0862,0.575,123.979,4,brazil,99
100,4TA9yhZiAMGHISseJM0YE6,Maneva,Mundo Novo,Olha O Sol,46,173565,False,0.796,0.517,9,-8.032,1,0.0793,0.494,0.0,0.134,0.803,127.986,4,brazil,100
101,06hScW2F8wdPVjlagETKdC,Trazendo a Arca,Olha pra Mim,Olha pra Mim,43,392866,False,0.342,0.572,7,-6.713,1,0.0348,0.281,0.0,0.792,0.234,129.615,4,brazil,101
102,1EUm3fTMaakB3KdffkvCZk,Isadora Pompeo,Pra Te Contar Os Meus Segredos (Ao Vivo),Preciso Entender - Ao Vivo,44,237333,False,0.634,0.401,8,-10.877,1,0.0273,0.0707,0.0,0.973,0.321,139.813,4,brazil,102
103,1Vkokw1TnFV6HEhyQ7OAB9,Theo Rubia,Um Milhão de Anos,Um Milhão de Anos,49,589233,False,0.459,0.494,7,-7.608,0,0.0341,0.0685,1.19e-05,0.105,0.0808,133.961,4,brazil,103
104,7aDLnVQ1Gvjh6Q0nc1rePd,Detonautas Roque Clube,Melhor Plantar o Bem,Melhor Plantar o Bem,44,234061,False,0.648,0.85,8,-5.323,1,0.0401,0.0861,1.43e-05,0.122,0.878,77.516,4,brazil,104
105,29yVwAhJ5G9lVwiAYzPOi3,Projota,3Fs (Ao Vivo),Acabou - Ao Vivo,46,259226,False,0.658,0.881,0,-5.03,1,0.0459,0.188,0.0,0.822,0.875,84.966,4,brazil,105
106,1N5UtZKFtYssbDet5eZAeB,RPM,RPM 2002 (Ao Vivo),Onde Está O Meu Amor? - Ao Vivo,45,182666,False,0.284,0.375,7,-9.326,1,0.027,0.409,8.94e-05,0.347,0.217,104.96,4,brazil,106
107,525iKRpCJuNRyA5OTUNzla,BK;El Lif Beatz,Gigantes,Julius,44,251668,False,0.759,0.661,5,-6.457,0,0.363,0.201,0.0,0.137,0.658,129.794,4,brazil,107
108,7r8eUoC7iw1GO9WfFYddKR,Lukas Agustinho,O Escudo + Sou Um Milagre (Ao Vivo),O Escudo + Sou Um Milagre - Ao Vivo,49,392240,False,0.368,0.487,9,-9.691,1,0.0444,0.338,0.0,0.0877,0.266,138.468,4,brazil,108
109,2My8HJMPq6KVqX7lQvWD7Q,Deekline;Wizard;Stanton Warriors,"Back up, Coming Through Remixed",Handz Up - Stanton Warriors Remix,12,339000,False,0.72,0.836,7,-7.417,1,0.0497,7.5e-05,0.216,0.0831,0.188,131.891,4,breakbeat,109
110,1gE5lR5x2t3PcRMm5XNkM0,Nick Thayer,Mind Control,Mind Control,9,400786,False,0.675,0.965,11,-6.082,1,0.0495,0.000148,0.626,0.245,0.537,133.983,4,breakbeat,110
111,0xD3GpmbLiHNVj5YbqP3sd,The Chemical Brothers,Cylinders (25/9/96),It Doesn't Matter - Alt Mix / 28/9/96,12,712146,False,0.619,0.936,0,-6.25,1,0.0441,0.000101,0.813,0.0925,0.432,129.053,4,breakbeat,111
112,5u9Ity5XCM6RqoDkOtWGal,Audio Bullys,Higher Than the Eiffel,Daisy Chains,12,254186,False,0.484,0.618,7,-6.1,1,0.0541,0.374,0.00499,0.0941,0.0412,142.093,4,breakbeat,112
113,0LBIf9EFHuxmuNig4JHGZo,Timo Maas,Crossing Wires 002 - Compiled And Mixed By Timo Maas,Crossing Wires 002 - Continuous DJ Mix,11,4789026,False,0.697,0.632,1,-12.469,1,0.0451,0.00815,0.871,0.0998,0.151,121.055,4,breakbeat,113
114,3rl3jUyTEB0D3YjIv709Q2,Dub Pistols;Rodney P,Speakers and Tweeters,You'll Never Find (Dub),11,254517,False,0.732,0.623,1,-5.572,1,0.0486,0.000881,0.686,0.29,0.326,83.26,4,breakbeat,114
115,7p8K24Ah8YGyZmYIZtwySm,A.Skillz;Krafty Kuts;Cathy Burton,Tricka Technology,On Your Own (feat. Cathy Burton),10,350066,False,0.641,0.607,8,-7.785,1,0.0593,0.307,0.761,0.0991,0.356,170.018,4,breakbeat,115
116,1LfZVlZg1JMxOS1W1fmWOK,The Crystal Method;Hyper;Iggy Pop,Post Punk (feat. Iggy Pop),Post Punk (feat. Iggy Pop),36,275966,False,0.509,0.924,4,-7.207,0,0.0523,0.000952,0.673,0.682,0.065,99.98,4,breakbeat,116
117,4KBOnpPbABfXoIQS9Axlh8,The Prodigy,"Always Outnumbered, Never Outgunned",Hotride,44,272920,False,0.505,0.998,5,-4.003,0,0.0615,0.000189,0.207,0.345,0.598,156.091,4,breakbeat,117
118,68TL2jafwq6hwl6ExBY6JK,Noisia;Camo & Krooked,Closer,Nova,37,276430,False,0.667,0.735,10,-4.025,1,0.349,0.372,0.208,0.108,0.1,86.059,4,breakbeat,118
119,1aaRBc3zF4nOLkrqFFCCpj,Gerald Barry;Jennifer France;Britten Sinfonia;Thomas Adès,Beethoven: Complete Symphonies & Barry: Selected Works,The Eternal Recurrence,0,701426,False,0.539,0.207,0,-15.186,1,0.0481,0.975,0.0312,0.351,0.339,103.802,4,british,119
120,7CZiDzGVjUssMSOXrDNYHL,The Beatles,Help! (Remastered),Ticket To Ride - Remastered 2009,65,189680,False,0.519,0.85,9,-6.777,1,0.0678,0.0457,0.0,0.233,0.749,123.419,4,british,120
